State,County,prop_male,prop_female,white_male,white_female,black_male,black_female,native_am_male,native_am_female,aa_male,aa_female,native_ha_male,native_ha_female,hisp_male,hisp_female
Nebraska,Rock County,0.49815770081061167,0.5018422991893884,0.4812085482682388,0.4819454679439941,0.0014738393515106854,0,0.0058953574060427415,0.0029476787030213707,0.0014738393515106854,0.0014738393515106854,0,0,0.007369196757553427,0.011790714812085483
Nebraska,Saline County,0.5144825646794151,0.48551743532058494,0.343996062992126,0.3346456692913386,0.005975815523059618,0.004147919010123734,0.0018982002249718784,0.00140607424071991,0.014763779527559055,0.014904386951631047,7.733408323959505e-4,7.733408323959505e-4,0.14173228346456693,0.12380483689538807
Nebraska,Sarpy County,0.5014369965170196,0.4985630034829804,0.39937284984721894,0.40156306758691424,0.02216393512681895,0.017975811448962584,0.001805594136626851,0.002232953695591786,0.011164768477958931,0.01435928118122182,4.700955148614287e-4,3.8462360306844165e-4,0.052570567747174085,0.04818479027329644
Nebraska,Saunders County,0.5074613031791639,0.49253869682083606,0.4809064788210214,0.4679302993789971,0.003151357864491612,0.002085457410325331,0.001807396422281954,0.0019464269163036426,0.0019464269163036426,0.00227083140235425,9.268699601445917e-5,0,0.013022522940031514,0.010983409027713411
Nebraska,Scotts Bluff County,0.4862429108877534,0.5137570891122466,0.34347801673311246,0.3721152226402381,0.005446684260767028,0.003004099051041608,0.007496209781571115,0.007917345162558258,0.003284855971699702,0.0040990510416081755,3.930596889213319e-4,2.526812285922848e-4,0.12137121680049413,0.12022011342579594
Nebraska,Seward County,0.5115713955102985,0.48842860448970143,0.4807914834529044,0.4644758157833835,0.0047442721592224025,0.002024994214302245,0.0023721360796112013,0.0022564221245082155,0.002024994214302245,0.0029507058551261284,1.1571395510298542e-4,0,0.01538995602869706,0.010761397824577645
Nebraska,Sheridan County,0.4933282500953107,0.5066717499046893,0.3953488372093023,0.41117041555470835,0.0019062142584826535,0.0019062142584826535,0.0440335493709493,0.045177277926038886,0.0019062142584826535,0.0024780785360274493,5.71864277544796e-4,7.624857033930614e-4,0.032024399542508575,0.0285932138772398
Nebraska,Sherman County,0.49083638787070977,0.5091636121292903,0.47417527490836386,0.4888370543152283,0.0013328890369876708,9.99666777740753e-4,9.99666777740753e-4,9.99666777740753e-4,9.99666777740753e-4,0.002999000333222259,0,0,0.011329556814395202,0.010996334555148283
Nebraska,Sioux County,0.5171526586620926,0.48284734133790735,0.47427101200686106,0.44168096054888506,0.002572898799313894,8.576329331046312e-4,0.005145797598627788,0.005145797598627788,0.0017152658662092624,8.576329331046312e-4,0,0,0.026586620926243566,0.026586620926243566
Nebraska,Stanton County,0.5074324324324324,0.4925675675675676,0.45844594594594595,0.4560810810810811,0.004560810810810811,0.002195945945945946,0.0033783783783783786,0.002533783783783784,0.002027027027027027,0.002195945945945946,0,0,0.033445945945945944,0.02314189189189189
